comment,likes,replies,engagement,label,length,clean_comment,label_id
nggak usah dipelintir nyalahin argo bromo nyalahin kai yg salah tetep mobil,78506,80,78586,negatif,75,nggak usah dipelintir nyalahin argo bromo nyalahin kai yg salah tetep mobil,0
yg salah taxi bkn kai,33,0,33,negatif,21,yg salah taxi bkn kai,0
kirain jalur kereta cepat dan kereta biasa beda baru tau bgt bgt,1,0,1,netral,64,kirain jalur kereta cepat dan kereta biasa beda baru tau bgt bgt,1
intinya klau udh dengar suara palang kereta mau nutup mending berhenti  mnit tpi bisa buat nyawa mu  nyawa org lain selamatjgn egois di jalan raya ga perlu nyalahin tpi mulai dari diri sendiri patuhi rambu lalin,101,3,104,positif,211,intinya klau udh dengar suara palang kereta mau nutup mending berhenti mnit tpi bisa buat nyawa mu nyawa org lain selamatjgn egois di jalan raya ga perlu nyalahin tpi mulai dari diri sendiri patuhi rambu lalin,2
aduh gw stres liat nya,97,0,97,negatif,22,aduh gw stres liat nya,0
makasih yang udah bikin penjelasannya secara visualisasi dan turut berdukacita buat para korban ,793,0,793,positif,96,makasih yang udah bikin penjelasannya secara visualisasi dan turut berdukacita buat para korban,2
itu taxi listrik kayanya penyebab utama sinyal error baned aja udah gausah ada taxi begitu,616,4,620,negatif,90,itu taxi listrik kayanya penyebab utama sinyal error baned aja udah gausah ada taxi begitu,0
mobil tu cuma pemicu utama yg perlu di eval banyak juga kai krn kejadian gini uda sering tp emg kesadaran masyarakat buat ga terobos plang tu minim bgt,194,52,246,negatif,151,mobil tu cuma pemicu utama yg perlu di eval banyak juga kai krn kejadian gini uda sering tp emg kesadaran masyarakat buat ga terobos plang tu minim bgt,0
intinya kalau taxi ga nerobos smua aman seperti biasanya,6224,31,6255,negatif,56,intinya kalau taxi ga nerobos smua aman seperti biasanya,0
hadehhh taksi problematik itu lagi,3122,70,3192,negatif,34,hadehhh taksi problematik itu lagi,0
intinyaaa yg salah ya yg taxi mobill ituuu,477,20,497,negatif,42,intinyaaa yg salah ya yg taxi mobill ituuu,0
ada lho yang nyalahin kai  gokil bet,1615,37,1652,negatif,36,ada lho yang nyalahin kai gokil bet,0
duh cape bgt gue liat komenan malah makin gawaras gue disini,2160,47,2207,negatif,60,duh cape bgt gue liat komenan malah makin gawaras gue disini,0
owalah begini kronologinya baru paham ,20111,37,20148,netral,38,owalah begini kronologinya baru paham,1
intinya kesalahan awal gara si taxi jir ngga sabaran banget heran,1856,44,1900,negatif,65,intinya kesalahan awal gara si taxi jir ngga sabaran banget heran,0
kenapa selalu menyalahkan kai pdahal kereta punya jalur sendiri udah jelas taxi yg salah,628,20,648,negatif,88,kenapa selalu menyalahkan kai pdahal kereta punya jalur sendiri udah jelas taxi yg salah,0
pokonya ga mau tau ini semua awalnya tetep gara taxi ituu,498,41,539,negatif,57,pokonya ga mau tau ini semua awalnya tetep gara taxi ituu,0
komunikasi jelek sinyal error fixed audit kai,14,17,31,negatif,45,komunikasi jelek sinyal error fixed audit kai,0
apa cuma aku kalo ada kereta lewat nungguinbukan karna taat lalu lintas tapi emang sneng aja liat kereta lewat,357,14,371,positif,110,apa cuma aku kalo ada kereta lewat nungguinbukan karna taat lalu lintas tapi emang sneng aja liat kereta lewat,2
dari semua komen intinya taxi yg salah,21003,68,21071,negatif,38,dari semua komen intinya taxi yg salah,0
taxi greensm n signal error,352,1,353,negatif,27,taxi greensm n signal error,0
sinyal eror  sekali lagi kenapa sinyal bisa eror ,14,18,32,negatif,49,sinyal eror sekali lagi kenapa sinyal bisa eror,0
ko bisa signal eror,14,8,22,negatif,19,ko bisa signal eror,0
signal nya kenapa bisa eror bjir,28,9,37,negatif,32,signal nya kenapa bisa eror bjir,0
itu ada  kereta,37,13,50,netral,15,itu ada kereta,1
guys izin tanya itu yang signal lampu merah error maksudnya gimana ya,16,14,30,netral,69,guys izin tanya itu yang signal lampu merah error maksudnya gimana ya,1
intinya taxi yag salah sabar dikit napa,27,9,36,negatif,39,intinya taxi yag salah sabar dikit napa,0
itu masinis nya gmn yaa yg ka argo bromo anggrek semoga aja selamet,6,3,9,positif,67,itu masinis nya gmn yaa yg ka argo bromo anggrek semoga aja selamet,2
sticker kalian gak punya ini,12,25,37,netral,28,sticker kalian gak punya ini,1
berarti  kereta ya,8,16,24,netral,18,berarti kereta ya,1
intinya dahulukan kereta api kan udah ada undang undangnya,74,4,78,positif,58,intinya dahulukan kereta api kan udah ada undang undangnya,2
sinyal erorkok bisaaa gak pernah di cek sih secara berkala,14,20,34,negatif,58,sinyal erorkok bisaaa gak pernah di cek sih secara berkala,0
yang salah itu taksi listrik gak usah nyalahin kereta  okee,67,6,73,negatif,59,yang salah itu taksi listrik gak usah nyalahin kereta okee,0
kondisi masinis nya gimana yg ka argo bromo ,60,29,89,positif,44,kondisi masinis nya gimana yg ka argo bromo,2
berarti ada kesalahan di kai juga berbahaya ini,3803,87,3890,negatif,47,berarti ada kesalahan di kai juga berbahaya ini,0
ada  kejadian kah gimanasii pls jelasin,11,14,25,netral,39,ada kejadian kah gimanasii pls jelasin,1
thanks ya bang udah di animasi kan akhirnya aku ga terheran herean ,762,7,769,positif,67,thanks ya bang udah di animasi kan akhirnya aku ga terheran herean,2
taksi salahkai sinyal telat,56,29,85,netral,27,taksi salahkai sinyal telat,1
tu taxi nerobos apa gimana kok bisa macet di tengah,13,13,26,netral,51,tu taxi nerobos apa gimana kok bisa macet di tengah,1
signal kai eror itu kan pasti disebabkan sama taxi yang menghalangi jalan gak sih,1686,23,1709,netral,81,signal kai eror itu kan pasti disebabkan sama taxi yang menghalangi jalan gak sih,1
intinya karna si taxi,201,10,211,negatif,21,intinya karna si taxi,0
lagian mobil ngapain itu di rel,49,12,61,netral,31,lagian mobil ngapain itu di rel,1
pertanyaan gue itu taksi ngapain diem disitu udah tau ada kereta apa mogok,49,48,97,netral,74,pertanyaan gue itu taksi ngapain diem disitu udah tau ada kereta apa mogok,1
ohh ternyata ada tiga kereta tohh,706,47,753,netral,33,ohh ternyata ada tiga kereta tohh,1
berati  kereta dalam satu kejadian please info,16,8,24,netral,46,berati kereta dalam satu kejadian please info,1
berarti itu kereta argo bromo anggrek sampe masuk ke krl gerbong wanita yah,17,11,28,netral,75,berarti itu kereta argo bromo anggrek sampe masuk ke krl gerbong wanita yah,1
jadi harusnya si argo bromo itu ke kiri gitu,0,6,6,netral,44,jadi harusnya si argo bromo itu ke kiri gitu,1
dari semua yang komen yang salah pihak kai nya telat kasih sigyal ke argo bromo anggrek titik,33,55,88,negatif,93,dari semua yang komen yang salah pihak kai nya telat kasih sigyal ke argo bromo anggrek titik,0
yg salah tetep taksi lah logika aja emg kereta secepat itu bisa pelan tiba tiba aduh,9712,67,9779,negatif,84,yg salah tetep taksi lah logika aja emg kereta secepat itu bisa pelan tiba tiba aduh,0
salah taxinya no debat ga sabaran bner jadi orang,800,12,812,negatif,49,salah taxinya no debat ga sabaran bner jadi orang,0
sistem kai harus dievaluasi zero tolerance untuk masalah keselamatan jgn gampang bilang sensor nya eror harus di evaluasi semua bisa jadi human eror petugas telat memberikan informasi atau masinis mengabaikan informasi kalo sensor yang error berarti maintenance nya yang harus di perbaiki atau inovasi buat sistem baru demi keselamatan penumpang,22632,90,22722,negatif,345,sistem kai harus dievaluasi zero tolerance untuk masalah keselamatan jgn gampang bilang sensor nya eror harus di evaluasi semua bisa jadi human eror petugas telat memberikan informasi atau masinis mengabaikan informasi kalo sensor yang error berarti maintenance nya yang harus di perbaiki atau inovasi buat sistem baru demi keselamatan penumpang,0
itu alurnya dari waktu pelintasan udah diatur kalo gak ada taxi yang ngalangin gak bakal berubah inget kereta yang nabrak argo bromo argo bromo adalah kereta api jarak jauh eksekutif berkecepatan tinggi gak semudah itu buat berenti membutuhkan jarak pengereman yang sangat panjang untuk berhenti totalka argo bromo anggrek membutuhkan jarak pengereman darurat sekitar  meter untuk berhenti total kereta api menggunakan sistem rem udara tekan bukan rem mekanis biasa sehingga membutuhkan jarak yang sangat panjang untuk berhenti aman dari kecepatan tinggi,67,13,80,netral,554,itu alurnya dari waktu pelintasan udah diatur kalo gak ada taxi yang ngalangin gak bakal berubah inget kereta yang nabrak argo bromo argo bromo adalah kereta api jarak jauh eksekutif berkecepatan tinggi gak semudah itu buat berenti membutuhkan jarak pengereman yang sangat panjang untuk berhenti totalka argo bromo anggrek membutuhkan jarak pengereman darurat sekitar meter untuk berhenti total kereta api menggunakan sistem rem udara tekan bukan rem mekanis biasa sehingga membutuhkan jarak yang sangat panjang untuk berhenti aman dari kecepatan tinggi,1
ohh ternyata gini gue kalo gaada visualisasinya gini masih bingung drtd ,763,7,770,netral,72,ohh ternyata gini gue kalo gaada visualisasinya gini masih bingung drtd,1
pliss gaisss kalian boleh ga sabar dikit klo ad kereta mau lewat sabar dikit ko ga lamaa ini jg demi keselamatan semua org,170,4,174,positif,122,pliss gaisss kalian boleh ga sabar dikit klo ad kereta mau lewat sabar dikit ko ga lamaa ini jg demi keselamatan semua org,2
makasih ilustrasinyaakhirnya aku ngertiii juga setelah liat ini krna bacain aja gk ngudeng drtd,48,1,49,positif,95,makasih ilustrasinyaakhirnya aku ngertiii juga setelah liat ini krna bacain aja gk ngudeng drtd,2
pelajaran berharga untuk sistem kai,15,39,54,positif,35,pelajaran berharga untuk sistem kai,2
udh gmpng yg slh taxi,18,11,29,negatif,21,udh gmpng yg slh taxi,0
mau nanya guys jadi ini bukan berawal dri si taksi mogok ya soalnya itu klo diliat mereka dri arahrel yang berbeda,14,23,37,netral,114,mau nanya guys jadi ini bukan berawal dri si taksi mogok ya soalnya itu klo diliat mereka dri arahrel yang berbeda,1
jadi bukan murni taxi ijo ppka juga ada kelalaian,464,27,491,negatif,49,jadi bukan murni taxi ijo ppka juga ada kelalaian,0
kesimpulannya adalah  taksi ngapain berenti disitu butuh info tulis dikomen  harus ada inovasi dari kai untuk meminimalisir terjadi signal eror signal delay even itu mepet karena apapun bisa terjadi hambatan bisa terjadi  gak ada yang bisa disalahkan selama lu gak ada di tkp sbg supir taxinya apa yg terjadi  gak usah so pada kepinteran nyalahin ini itu,47,19,66,netral,354,kesimpulannya adalah taksi ngapain berenti disitu butuh info tulis dikomen harus ada inovasi dari kai untuk meminimalisir terjadi signal eror signal delay even itu mepet karena apapun bisa terjadi hambatan bisa terjadi gak ada yang bisa disalahkan selama lu gak ada di tkp sbg supir taxinya apa yg terjadi gak usah so pada kepinteran nyalahin ini itu,1
salah taxi kai ngk akan pernah salah selamanya,62,10,72,negatif,46,salah taxi kai ngk akan pernah salah selamanya,0
serius nanyak ini kalaupun si taxi ga ada emang bakalan kecelakaan kah karna signal eror yg di maksud  kalau enggak yah berarti si taxi emang salah kan,30,14,44,netral,151,serius nanyak ini kalaupun si taxi ga ada emang bakalan kecelakaan kah karna signal eror yg di maksud kalau enggak yah berarti si taxi emang salah kan,1
seharusnya jalur krl dibedakan dengan jalur jarak jauh,215,6,221,netral,54,seharusnya jalur krl dibedakan dengan jalur jarak jauh,1
ya elah signal error ternyata inimah kelalaian pt kai knp pda nyalahin taksi,51,83,134,negatif,76,ya elah signal error ternyata inimah kelalaian pt kai knp pda nyalahin taksi,0
"emang mobilnya salah
tapi kai sistem nya gimana tau ada trobel dijalan kok ga kedeteksi malah main jalan terus",56,7,63,negatif,110,emang mobilnya salah tapi kai sistem nya gimana tau ada trobel dijalan kok ga kedeteksi malah main jalan terus,0
"diluar kasus taksi ijo
harus diselidiki kenapa signal error
atau emang ga ngasi signal",228,86,314,negatif,86,diluar kasus taksi ijo harus diselidiki kenapa signal error atau emang ga ngasi signal,0
ga mungkin error lah masa cuman  doang safetynya padahal dari tracking harusnya juga bisa nambah  lagi  jarak dan line yg sama harusnya bisa alarm,9,9,18,negatif,146,ga mungkin error lah masa cuman doang safetynya padahal dari tracking harusnya juga bisa nambah lagi jarak dan line yg sama harusnya bisa alarm,0
aku kira naik kereta paling aman ternyata tidak sperti yg di bayangkan,12,7,19,negatif,70,aku kira naik kereta paling aman ternyata tidak sperti yg di bayangkan,0
papa ku aman gak ya,7,11,18,netral,19,papa ku aman gak ya,1
kenapa bisa signal eror infrastruktur kai seburuk itukah sampe bikin sinyal error,16,31,47,negatif,81,kenapa bisa signal eror infrastruktur kai seburuk itukah sampe bikin sinyal error,0
gara gara taxi yg gak sabaran,66,18,84,negatif,29,gara gara taxi yg gak sabaran,0
ini tuh kai yg tembus atau bromo anggrek nya ya,2,6,8,netral,47,ini tuh kai yg tembus atau bromo anggrek nya ya,1
keduanya pihak kai dan taxi salah tapi dg sebab berbeda tapi saling berkaitan  gitu aja kai di masalah komunikasi signal dan salh taxi yg nyerobot,39,25,64,netral,146,keduanya pihak kai dan taxi salah tapi dg sebab berbeda tapi saling berkaitan gitu aja kai di masalah komunikasi signal dan salh taxi yg nyerobot,1
taxi salah kai lebih salah lagi harusnya hal seperti ini sudah bisa diantisipasi,9,29,38,negatif,80,taxi salah kai lebih salah lagi harusnya hal seperti ini sudah bisa diantisipasi,0
 hal yang salah yang pertama perusahaan mobil ev dan kedua kai,13,34,47,netral,62,hal yang salah yang pertama perusahaan mobil ev dan kedua kai,1
makanya sabar untuk kehidupan itu penting bgttt,1,0,1,positif,47,makanya sabar untuk kehidupan itu penting bgttt,2
yang komen kenapa salah taxi kan beda jalur fix kalian oon nya luar biasa di telen oon nya semua  cape gw pls masa kalian ga nyimak sih minimal dibaca berita nya itu aja masih di pertanyakan aih gblk sia,10,6,16,netral,203,yang komen kenapa salah taxi kan beda jalur fix kalian oon nya luar biasa di telen oon nya semua cape gw pls masa kalian ga nyimak sih minimal dibaca berita nya itu aja masih di pertanyakan aih gblk sia,1
astaga sinyalnya error toh,4594,20,4614,negatif,26,astaga sinyalnya error toh,0
penyebab utama  mobil yg macet berhenti ditengah rel,118,3,121,negatif,52,penyebab utama mobil yg macet berhenti ditengah rel,0
knp si jalany ganti gantian bikin mbg bs bikin rel gk bs,7,18,25,negatif,56,knp si jalany ganti gantian bikin mbg bs bikin rel gk bs,0
kesalahan pertama ada di taxi,36,14,50,negatif,29,kesalahan pertama ada di taxi,0
lah taxi ngapain disitu tolong jls kan dari pada kepikiran akk,0,3,3,netral,62,lah taxi ngapain disitu tolong jls kan dari pada kepikiran akk,1
"taxi gak salah
kereta gak salah
sistem juga gak salah
gua yang salah gua memang salah dalam segala hal",1775,72,1847,netral,102,taxi gak salah kereta gak salah sistem juga gak salah gua yang salah gua memang salah dalam segala hal,1
berarti permasalahan awal itu taksi ini ya ditambah signal rambu error ya wasallam,3291,64,3355,netral,82,berarti permasalahan awal itu taksi ini ya ditambah signal rambu error ya wasallam,1
jir ngapain sih taxinya nerobos ini ga bakal kejadian kalo bukan krna taxi itu,60,29,89,negatif,78,jir ngapain sih taxinya nerobos ini ga bakal kejadian kalo bukan krna taxi itu,0
clear banget visualisasinya langsung pada paham apa yang sebenernya terjadi,45,0,45,positif,75,clear banget visualisasinya langsung pada paham apa yang sebenernya terjadi,2
walaupun inti kesalahannya ada pada taxitpi kai juga sangat lalai dalam komunikasi sampe gak tau klo ada kereta berhenti begitumasa sekelas kereta gak bisa komunikasiapa krna sdh keenakan santai di dalam yah sedangkan kami di tambang saja klo ada sesuatu di jalan terjadi lgsg info ke radio semua agar tdk ada mis komunikasi,7,15,22,netral,324,walaupun inti kesalahannya ada pada taxitpi kai juga sangat lalai dalam komunikasi sampe gak tau klo ada kereta berhenti begitumasa sekelas kereta gak bisa komunikasiapa krna sdh keenakan santai di dalam yah sedangkan kami di tambang saja klo ada sesuatu di jalan terjadi lgsg info ke radio semua agar tdk ada mis komunikasi,1
pertanyaan gw sopir taxi msh bisa tdr nyenyak,4,9,13,netral,45,pertanyaan gw sopir taxi msh bisa tdr nyenyak,1
apa mungkin bisa gak ya kalo ada jalan umum kecil atau utama yg melintasi rel kereta dibikin jembatan untuk meminimalkan kecelakaan,10,11,21,positif,131,apa mungkin bisa gak ya kalo ada jalan umum kecil atau utama yg melintasi rel kereta dibikin jembatan untuk meminimalkan kecelakaan,2
kok bisa satu rel ya,8,17,25,netral,20,kok bisa satu rel ya,1
dr sini aja udah tau karena signal yg error,7,6,13,negatif,43,dr sini aja udah tau karena signal yg error,0
taxi ijo anjing,20,0,20,negatif,15,taxi ijo anjing,0
taxi siapa itu woy di tengah rel ,21,0,21,negatif,33,taxi siapa itu woy di tengah rel,0
taxi yg salah titik,20,0,20,negatif,19,taxi yg salah titik,0
kereta punya jalurnya sendiri dn udah jadi aturan klo jalur kereta itu harus steril pertanyaannya apa yg bikin jalur kereta ga steril kemaren ya taksi ijo simple aja,16,1,17,negatif,165,kereta punya jalurnya sendiri dn udah jadi aturan klo jalur kereta itu harus steril pertanyaannya apa yg bikin jalur kereta ga steril kemaren ya taksi ijo simple aja,0
bisabisanya pd nyalahin kai jelas taxi nya yg salah,21,0,21,negatif,51,bisabisanya pd nyalahin kai jelas taxi nya yg salah,0
"iya oke oke ada beberapa pihak yg salah
tapi tetep poin utama nya itu kesalahan pertama",23,0,23,negatif,87,iya oke oke ada beberapa pihak yg salah tapi tetep poin utama nya itu kesalahan pertama,0
ihh berati disini  kereta  mobil ya kirain  kereta doang ,4,1,5,netral,57,ihh berati disini kereta mobil ya kirain kereta doang,1
taksi salah sistem kai juga perlu di pertanyakan,17,0,17,negatif,48,taksi salah sistem kai juga perlu di pertanyakan,0
pada gk terima jir klo nyalahin taxi padahal dari kemarin gk ada taxi aman aja tuh,60,0,60,negatif,82,pada gk terima jir klo nyalahin taxi padahal dari kemarin gk ada taxi aman aja tuh,0
berawal dari taksi yang tidak mau sabar,28,0,28,negatif,39,berawal dari taksi yang tidak mau sabar,0
sistem bobrok teknologi udah maju masih pake cara manual,19,18,37,negatif,56,sistem bobrok teknologi udah maju masih pake cara manual,0
"dari hasil aku cari info mobil taksi hijau itu belum bisa langsung dinyatakan bersalah kronologinya kendaraan tersebut diduga mengalami gangguan kelistrikan saat melintasi rel sehingga mesin mati tepat di tengah perlintasan selain itu di lokasi juga tidak terdapat palang pintu kereta api
jadi you guys jangan langsung menyimpulkan dari satu sumber saja apalagi cuma dari tiktok lebih baik cek juga berita dari sumber lain yang lebih jelas setahu ku pihak berwenang juga masih melakukan proses investigasi jadi untuk sekarang kita tunggu saja hasil resminya dan tetap bersikap objektif serta tidak menyebarkan asumsi yang belum tentu benar",6,5,11,netral,639,dari hasil aku cari info mobil taksi hijau itu belum bisa langsung dinyatakan bersalah kronologinya kendaraan tersebut diduga mengalami gangguan kelistrikan saat melintasi rel sehingga mesin mati tepat di tengah perlintasan selain itu di lokasi juga tidak terdapat palang pintu kereta api jadi you guys jangan langsung menyimpulkan dari satu sumber saja apalagi cuma dari tiktok lebih baik cek juga berita dari sumber lain yang lebih jelas setahu ku pihak berwenang juga masih melakukan proses investigasi jadi untuk sekarang kita tunggu saja hasil resminya dan tetap bersikap objektif serta tidak menyebarkan asumsi yang belum tentu benar,1
taxi yg salah memang goblok lah taxii,14,0,14,negatif,37,taxi yg salah memang goblok lah taxii,0
pihak taxi harus ganti rugi,15,0,15,negatif,27,pihak taxi harus ganti rugi,0
sinyal error karena konslet sama mbg,11,15,26,negatif,36,sinyal error karena konslet sama mbg,0
efek dominonya gila bgt yaa,17,0,17,negatif,27,efek dominonya gila bgt yaa,0
salah kereta ya kenapa lewat situ,0,3,3,negatif,33,salah kereta ya kenapa lewat situ,0
buat kalian yg ga sabaran minimal ga ngerugiin orang lain,16,0,16,positif,57,buat kalian yg ga sabaran minimal ga ngerugiin orang lain,2
yg nyalahin presiden fix lu plenger bgt anjj,15,0,15,negatif,44,yg nyalahin presiden fix lu plenger bgt anjj,0
"intinya yang salah ttp taksi
titikkkk",15,0,15,negatif,37,intinya yang salah ttp taksi titikkkk,0
green sm kan mobil liatrik wajar bgt di mogok di tengah rel jd menurut gue gausah saling nyalahin lah kita tunggubinvesitgasi sja,12,15,27,netral,129,green sm kan mobil liatrik wajar bgt di mogok di tengah rel jd menurut gue gausah saling nyalahin lah kita tunggubinvesitgasi sja,1
udah pasti isi komen saling salahin  padahal ini semua adalah musibah plic jangan serang akuuuuu,11,8,19,netral,96,udah pasti isi komen saling salahin padahal ini semua adalah musibah plic jangan serang akuuuuu,1
memang betul taxi dalah tpi kita ga tau troble di lintas bagaimana entah ada kecelakaan atau troble dadakan jdi sistem krl harus di evaluasi supaya lebih cepat memberi informasi ini jga demi keselamatan bukan hanya nyalahin taxi kita ga tau kedepanya ada troble apa kedepanya,18,8,26,netral,275,memang betul taxi dalah tpi kita ga tau troble di lintas bagaimana entah ada kecelakaan atau troble dadakan jdi sistem krl harus di evaluasi supaya lebih cepat memberi informasi ini jga demi keselamatan bukan hanya nyalahin taxi kita ga tau kedepanya ada troble apa kedepanya,1
kalau gak signal error hal seperti ini tidak akan terjadi,22,10,32,netral,57,kalau gak signal error hal seperti ini tidak akan terjadi,1
ini pihak taksi bisa dituntut gak sih,378,35,413,negatif,37,ini pihak taksi bisa dituntut gak sih,0
gys gua masi binggung itu jalur kan  yaa tapi kereta yang nabrak mobil kan otomatis rel nya ke kanan nah kereta yang berhentidijalur kiri dan nyusul kereta argo bromo jalur kiri juga kan kalo misalkan si kerata yang berhenti ini jalan argo bromo jalan apa sama aja  kan argo bromo aga cepet juga apa argo bromo pindah ke jalur kanan  binggung,28,43,71,netral,342,gys gua masi binggung itu jalur kan yaa tapi kereta yang nabrak mobil kan otomatis rel nya ke kanan nah kereta yang berhentidijalur kiri dan nyusul kereta argo bromo jalur kiri juga kan kalo misalkan si kerata yang berhenti ini jalan argo bromo jalan apa sama aja kan argo bromo aga cepet juga apa argo bromo pindah ke jalur kanan binggung,1
sinyal error padahal didepan ada krl  pertanyaannya kenpaa bisa hijau padahal di jalur tersebut masih belum amaan lantas siapa yang memberikan sinyal aman ,47,76,123,netral,155,sinyal error padahal didepan ada krl pertanyaannya kenpaa bisa hijau padahal di jalur tersebut masih belum amaan lantas siapa yang memberikan sinyal aman,1
bukan karena si taksi tapi sistem dan prosedur keamanan kai yang harus dibenahi,135,90,225,negatif,79,bukan karena si taksi tapi sistem dan prosedur keamanan kai yang harus dibenahi,0
mana argo bromo itu kereta cepat yg ga bakal berhenti di stasiun keci otomatis kecepatannya diatas kereta yg lain ,13,0,13,positif,114,mana argo bromo itu kereta cepat yg ga bakal berhenti di stasiun keci otomatis kecepatannya diatas kereta yg lain,2
tuntut lah itu taxi onlinenya duh aduh,58,0,58,negatif,38,tuntut lah itu taxi onlinenya duh aduh,0
akhirnya aku bisa faham lewat vt ini,46,0,46,positif,36,akhirnya aku bisa faham lewat vt ini,2
yang komen pada bego apa begimana dah kereta api cepet gtu disuruh ngerem mendadak selisih  menit yang nyalahin kai nya si sumpah gapernah naik kereta,19,0,19,negatif,150,yang komen pada bego apa begimana dah kereta api cepet gtu disuruh ngerem mendadak selisih menit yang nyalahin kai nya si sumpah gapernah naik kereta,0
sticker ya allah,35,0,35,netral,16,sticker ya allah,1
aku juga heran kenapa di kereta tidak ada alat komunikasi selain signal distasiun atau di jalan atau aku yg kurang pahamm ,7,3,10,netral,122,aku juga heran kenapa di kereta tidak ada alat komunikasi selain signal distasiun atau di jalan atau aku yg kurang pahamm,1
ehhh ada  kereta ya,0,1,1,netral,19,ehhh ada kereta ya,1
bermasalah banget tuh taxi,20,0,20,negatif,26,bermasalah banget tuh taxi,0
